model	NDCG@10	Recall@10	Train (s)	Test (s)	coverage	novelty	Unnamed: 0	recall@10	ndcg@10
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2117	0.4022	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0123	0.02	0.0736	0.121	0.019	0.6628			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0103	0.0184	0.366	0.418	0.0163	0.389			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2135	0.4058	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2116	0.3985	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2126	0.4091	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2132	0.408	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2144	0.4196	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2126	0.408	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0969	0.1703	0.019	0.6628			
BPR_noisy	0.0123	0.02	0.0724	0.1247	0.019	0.6628			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0123	0.02	0.0717	0.1149	0.019	0.6628			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.014	0.019	0.0754	0.1382	0.019	0.6599			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2117	0.4022	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0123	0.02	0.0736	0.121	0.019	0.6628			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0103	0.0184	0.366	0.418	0.0163	0.389			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2135	0.4058	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2116	0.3985	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2126	0.4091	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2132	0.408	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2144	0.4196	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2126	0.408	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1716	0.4091	0.019	0.6599			
BPR_noisy	0.0123	0.02	0.0724	0.1247	0.019	0.6628			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0123	0.02	0.0717	0.1149	0.019	0.6628			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.014	0.019	0.0754	0.1382	0.019	0.6599			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2117	0.4022	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0123	0.02	0.0736	0.121	0.019	0.6628			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0103	0.0184	0.366	0.418	0.0163	0.389			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2135	0.4058	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2116	0.3985	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2126	0.4091	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2132	0.408	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2144	0.4196	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0122	0.0229	0.2126	0.408	0.0136	0.4289			
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0123	0.02	0.0946	0.1695	0.019	0.6628			
BPR_noisy	0.0123	0.02	0.0724	0.1247	0.019	0.6628			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0123	0.02	0.0717	0.1149	0.019	0.6628			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.014	0.019	0.0754	0.1382	0.019	0.6599			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2117	0.4022	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0123	0.02	0.0736	0.121	0.019	0.6628			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0103	0.0184	0.366	0.418	0.0163	0.389			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2135	0.4058	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2116	0.3985	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2126	0.4091	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2132	0.408	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2144	0.4196	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0122	0.0229	0.2126	0.408	0.0136	0.4289			
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							0.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							1.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							2.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							3.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy							4.0	0.0637	0.0523
BPR_clean	0.0139	0.019	0.1698	0.4191	0.019	0.6599			
BPR_noisy	0.0123	0.02	0.0724	0.1247	0.019	0.6628			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0717	0.1149	0.019	0.6628			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.014	0.019	0.0754	0.1382	0.019	0.6599			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2117	0.4022	0.0136	0.4289			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0736	0.121	0.019	0.6628			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0103	0.0184	0.366	0.418	0.0163	0.389			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2135	0.4058	0.0136	0.4289			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2116	0.3985	0.0136	0.4289			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2126	0.4091	0.0136	0.4289			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2132	0.408	0.0136	0.4289			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2144	0.4196	0.0136	0.4289			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2126	0.408	0.0136	0.4289			
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							0.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0724	0.1247	0.019	0.6628			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0717	0.1149	0.019	0.6628			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.014	0.019	0.0754	0.1382	0.019	0.6599			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2117	0.4022	0.0136	0.4289			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0736	0.121	0.019	0.6628			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0103	0.0184	0.366	0.418	0.0163	0.389			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2135	0.4058	0.0136	0.4289			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2116	0.3985	0.0136	0.4289			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2126	0.4091	0.0136	0.4289			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2132	0.408	0.0136	0.4289			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2144	0.4196	0.0136	0.4289			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2126	0.408	0.0136	0.4289			
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							1.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0724	0.1247	0.019	0.6628			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0717	0.1149	0.019	0.6628			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.014	0.019	0.0754	0.1382	0.019	0.6599			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2117	0.4022	0.0136	0.4289			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0123	0.02	0.0736	0.121	0.019	0.6628			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0103	0.0184	0.366	0.418	0.0163	0.389			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2135	0.4058	0.0136	0.4289			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2116	0.3985	0.0136	0.4289			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							4.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2126	0.4091	0.0136	0.4289			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2132	0.408	0.0136	0.4289			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2144	0.4196	0.0136	0.4289			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy	0.0122	0.0229	0.2126	0.408	0.0136	0.4289			
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							0.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							1.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							2.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
BPR_noisy							3.0	0.0637	0.0523
BPR_clean							2.0	0.0637	0.0523
